longitude,latitude,median_house_value
-119.92816702774,35.92675676547094,201719
-123.30833004544861,41.56405722795949,190192
-117.02571226855436,33.87130891750845,370890
-119.4645731732193,41.03983954928237,386794
-116.77944400529653,37.438059500773264,377779
-115.33617674071371,36.569114216457656,237609
-114.24478494997115,40.8204141022989,248962
-115.4419665760739,36.586039617685856,306344
-123.88285915814998,39.241676366115435,498276
-120.40021935521636,35.99025321703102,489006
-116.70009437575942,41.04044392900958,51608
-122.2837032273856,38.90025020191227,497762
-118.78963393795871,38.99622054250517,80105
-123.45662011660747,35.277204015571186,385399
-122.000034751036,39.567786427368894,323642
-123.81478205539386,38.360610554471414,427116
-116.06302296642579,34.400202733797094,342504
-121.7607531193962,33.60538822485256,192994
-120.54648319303098,39.96391474517332,162812
-114.71918706534409,41.59166603035223,98851
-116.95585598076467,36.58138827260043,371837
-123.68161070468692,37.90984165323685,421510
-122.35305843502087,40.577226441935544,394064
-117.78521598500237,36.57223453353857,109530
-118.22771411395833,41.518744768327366,490163
-121.62107178625492,37.757511620448724,486665
-114.65786002075207,40.20767120701315,439062
-117.86034044034103,41.088437184127386,364259
-118.64367196975041,40.15523818768569,108530
-118.1009002364543,33.59414463448956,52098
-116.6987797048323,38.288984390617,425026
-120.88055004520398,35.984342586196775,87734
-120.01778937783908,32.62712952023346,456134
-121.90156251024878,36.24032251889842,306128
-122.13806994119663,34.58684066889408,350516
-114.55627610016066,40.49038308428511,72893
-116.60449204950713,32.33304626546696,390073
-119.09541191382434,41.58982721863474,221714
-121.72585372026677,35.553688484719295,435249
-121.45643518229608,35.567068904025426,150111
-123.41970839676124,32.16328502683708,458097
-119.6558337444188,33.85232325236184,142311
